Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-50.20060378274824,180
8.4244522084196,-50.52260943980562,0.1603492110448586
16.8489044168392,-53.93226608117425,0.3007719340494235
25.2733566252588,-63.46829587868683,1.339054976841336
33.6978088336784,-76.8514901327689,132.1138985169278
42.122261042098,-78.54654286458083,171.9321571353582
50.5467132505176,-78.74455368811753,10.66434871693391
58.9711654589372,-79.06773664958158,23.13156925406618
67.3956176673568,-80.35439619545592,31.24777854188291
75.8200698757764,-81.53493797785607,44.72287171662762
84.24452208419601,-81.57186096198734,163.208137116294
92.6689742926156,-82.37463849326508,105.9881459864046
101.0934265010352,-82.12888785610542,102.6707866288551
109.5178787094548,-82.3583280150592,109.2618224130717
117.9423309178744,-81.70234659882593,131.6593291686654
126.366783126294,-81.49582631189926,171.1308463396561
134.7912353347136,-81.3480083137557,168.6077108399993
143.2156875431332,-80.25354762527496,161.012635215196
151.6401397515528,-80.35869247833433,178.8920419304184
160.0645919599724,-80.86505813297195,20.73970475325378
168.489044168392,-80.79453615706809,54.71235152355928
176.9134963768116,-80.25570778134578,105.7265538893903
185.3379485852312,-81.56634682062875,132.543311506584
193.7624007936508,-81.29472175430402,137.8516564467609
202.1868530020704,-81.14145729335044,134.2211446954619
210.61130521049,-81.62030742711423,126.7592746902742
219.0357574189096,-81.04522631746774,122.2081776673474
227.4602096273292,-80.91644648942754,123.484293308611
235.8846618357488,-79.48859341145125,130.471141759841
244.3091140441684,-79.56789575238541,131.3982974299612
252.733566252588,-80.3374896911585,128.8616054862547
261.1580184610076,-80.86928251603075,124.1442162897452
269.5824706694272,-81.73999043969039,122.0433535092022
278.0069228778468,-81.68792323178288,169.9193716914021
286.4313750862664,-81.75457664445622,45.6615664545178
294.855827294686,-81.8916539738149,42.87392415008649
303.2802795031056,-81.99657086875814,45.75734394835207
311.7047317115252,-81.75195968569143,58.46700605527008
320.1291839199448,-81.56536895368261,74.95141523921743
328.5536361283644,-81.6290488778703,79.4294658248043
336.978088336784,-81.25124139062481,69.09721604289918
345.4025405452036,-80.37080351708593,31.98369637611206
353.8269927536232,-79.66582850026907,170.8008715099854
362.2514449620428,-80.13353038579052,164.6825906245506
370.6758971704624,-81.36962502896478,160.7608746616976
379.100349378882,-80.78251971791954,154.7731758875451
387.5248015873016,-80.82339503988109,154.2824695024896
395.9492537957212,-81.16108131222687,153.2176260357843
404.3737060041408,-81.1593906987902,75.49632134442842
412.7981582125604,-81.4508441706476,16.4914207339559
421.22261042098,-81.2739749268367,6.829571569258542
429.6470626293996,-81.40741236459507,22.74618251477613
438.0715148378192,-81.50367062494379,32.19742321836411
446.4959670462388,-80.94534058358084,26.30031100206963
454.9204192546584,-81.07288152033497,26.91823229207296
463.344871463078,-81.65791044227399,27.50043446816646
471.7693236714976,-80.51062202727137,24.72962166537101
480.1937758799172,-80.59213182002672,28.52076894826588
488.6182280883368,-82.18146609099421,136.7520388129647
497.0426802967564,-82.20713279228627,58.35892068207896
505.467132505176,-81.93055410837694,36.14325847381341
513.8915847135956,-81.29725647041647,9.492568218564074
522.3160369220152,-81.47254789471388,10.51862641170796
530.7404891304349,-81.82356545289301,17.83377864992268
539.1649413388544,-81.79757178444093,2.51914342160544
547.589393547274,-81.42588366906985,40.84148701765445
556.0138457556936,-79.97998755251962,5.410014648919817
564.4382979641132,-80.90384494164374,8.431331332359218
572.8627501725329,-81.58852187604995,2.943231306716063
581.2872023809524,-81.08066108529545,170.5234227570647
589.7116545893721,-80.89697860168138,166.1062501921674
598.1361067977916,-81.13043628717385,12.0066896855877
606.5605590062112,-81.20132028498878,28.47607867509624
614.9850112146308,-81.45385887447632,31.21694875787413
623.4094634230504,-82.26201048341571,20.5184852352827
631.8339156314701,-81.39213478715284,171.5668193007643
640.2583678398896,-81.49057490980587,103.1742954392104
648.6828200483092,-80.38796453633161,82.75898630248321
657.1072722567288,-80.52599135715172,65.97622436330924
665.5317244651484,-81.49655886473326,55.42697026536715
673.9561766735681,-81.89530864463491,65.25170983509992
682.3806288819876,-82.14462013741739,89.81938465765076
690.8050810904073,-82.34782009553258,134.7982765822537
699.2295332988268,-81.91549557705726,0.8427059913246542
707.6539855072464,-80.62186739929147,26.25507622169219
716.078437715666,-81.10385348354812,51.75239962613235
724.5028899240856,-81.45159175733754,72.65408739556915
732.9273421325053,-80.41266780168516,83.95773693148438
741.3517943409248,-80.19407848904946,98.12307605247121
749.7762465493445,-81.31421465537387,101.8619940615085
758.200698757764,-81.43954599303052,98.86508309900384
766.6251509661836,-82.12532377536311,102.90296463935
775.0496031746032,-82.05783647431183,106.9265657513683
783.4740553830228,-81.13525855335241,113.7523076675211
791.8985075914425,-80.99813879801019,138.9066381468174
800.322959799862,-81.58483551557764,7.844326823068982
808.7474120082816,-81.35204441727494,32.58079744557513
817.1718642167012,-81.80910925594765,46.07505482577663
825.5963164251208,-81.42359000589465,83.74201641836112
834.0207686335405,-82.38225534966668,143.5945565815016
842.44522084196,-81.97711110694894,168.733107060992
850.8696730503797,-81.59075850222551,176.073668392654
859.2941252587992,-81.93561081379534,179.0489114940481
867.7185774672188,-82.04671181063981,33.53363627145978
876.1430296756384,-82.09834821640044,109.2985667594594
884.567481884058,-82.61715382855019,109.8412816329346
892.9919340924777,-81.77119555548529,61.21699543525318
901.4163863008972,-81.42140578026937,125.7807984156043
909.8408385093169,-81.48978484606921,134.438958701687
918.2652907177364,-81.42904749982689,120.1920238768442
926.689742926156,-82.15556535528003,107.5224291949562
935.1141951345757,-80.94546482188186,117.8139165790346
943.5386473429952,-81.1380588657005,141.2781461258015
951.9630995514149,-82.0135472303073,153.539905183451
960.3875517598344,-81.65640342326012,159.0760179852957
968.8120039682541,-81.16462986454559,177.651122775601
977.2364561766736,-82.15615244332059,16.26460572339965
985.6609083850932,-82.22427273642663,69.60166868851518
994.0853605935129,-81.15999274431259,116.7859722003143
1002.509812801932,-81.7930417941495,123.4070128064841
1010.934265010352,-81.21398630400213,127.7319686330421
1019.358717218772,-81.62515960873272,134.9771588429986
1027.783169427191,-81.16358973453185,149.2490691464123
1036.207621635611,-81.31756714256404,4.399253996042658
1044.63207384403,-80.56128147428078,57.6264607940983
1053.05652605245,-81.96496117838323,61.32465319393291
1061.48097826087,-81.59908758361802,54.17401659373963
1069.905430469289,-81.81856817090222,46.25639000005236
1078.329882677709,-81.04107874217263,22.37518720474837
1086.754334886128,-81.81629726381007,142.0559785126877
1095.178787094548,-81.28201955163073,129.6594895190553
1103.603239302968,-81.36480867814268,122.4182815449343
1112.027691511387,-81.29337634681815,113.2172437607181
1120.452143719807,-81.49987409009505,111.2459231512294
1128.876595928226,-80.47038240882465,97.86190934944752
1137.301048136646,-80.66338681389949,66.92373700219042
1145.725500345066,-81.68661494132145,61.31666771461229
1154.149952553485,-82.0228791104735,60.45739358693946
1162.574404761905,-81.23938429926406,59.45590070046792
1170.998856970324,-81.60309245302003,78.21677718978806
1179.423309178744,-82.20267250158349,108.7726777631224
1187.847761387164,-81.02065275121198,85.73120359216105
1196.272213595583,-80.86296422405583,21.14864454869078
1204.696665804003,-81.34306508440261,165.1452927588515
1213.121118012422,-80.76660858930262,162.8809493262613
1221.545570220842,-81.46925057567873,152.4933507811884
1229.970022429262,-80.28853773058023,146.2421748769765
1238.394474637681,-79.47856488810957,156.32485099325
1246.818926846101,-80.22705467290515,176.3676155280122
1255.24337905452,-80.9674472444494,55.91972538738649
1263.66783126294,-81.81736249587429,88.65568300671907
1272.09228347136,-81.57625774569178,95.34459074812327
1280.516735679779,-82.05392838588091,91.40605161531242
1288.941187888199,-81.78953177116169,82.08224925763881
1297.365640096618,-81.3608120969414,77.92565245110119
1305.790092305038,-82.03835955416069,72.35959763020497
1314.214544513458,-82.28279776853748,68.10383888730503
1322.638996721877,-82.76612599832401,78.00823888277058
1331.063448930297,-81.52887007853425,88.50956707341419
1339.487901138717,-81.48502976313083,89.65857851946885
1347.912353347136,-81.21884165137348,87.5708059215976
1356.336805555556,-81.24019708773582,94.88711587123177
1364.761257763975,-82.08701259976567,108.1617861149406
1373.185709972395,-81.70013649806238,116.8773649536761
1381.610162180815,-81.66599021075676,138.2388690290692
1390.034614389234,-81.2527056257705,5.445282729361582
1398.459066597654,-81.81370793598732,39.25046949273049
1406.883518806073,-81.69763694532995,67.22186892923307
1415.307971014493,-82.2593460997974,125.1554440456683
1423.732423222913,-80.8988710536883,163.3119605559786
1432.156875431332,-80.87530408944941,16.33671805855482
1440.581327639752,-81.76264335313819,21.86806381028115
1449.005779848171,-80.45742276951165,8.748080731373296
1457.430232056591,-80.62260940539836,177.5924015847349
1465.854684265011,-80.18496299919744,81.56505118862567
1474.27913647343,-80.89228819840748,30.42183440337906
1482.70358868185,-82.21717988280216,22.58265311040438
1491.128040890269,-82.08628691126523,24.36835270983281
1499.552493098689,-81.37343325284655,31.32669617353577
1507.976945307109,-81.44749771686895,94.84378137706742
1516.401397515528,-81.45364557614799,155.2152055620305
1524.825849723948,-82.02839948687858,170.4642813077713
1533.250301932367,-82.22877519335242,169.3168097181792
1541.674754140787,-81.55946949849279,173.385971891305
1550.099206349206,-81.72540905401218,165.4532251693164
1558.523658557626,-82.39907376645652,3.596536554044917
1566.948110766046,-82.13629371110117,168.2535629979108
1575.372562974465,-81.1202641001685,144.7700122295104
1583.797015182885,-81.54299202370018,112.2350231301972
1592.221467391304,-80.41094737771587,57.93897055369893
1600.645919599724,-81.23284395626777,34.45948837078035
1609.070371808144,-81.94653755053062,0.3153622380186284
1617.494824016563,-81.71995073622926,149.8741741195852
1625.919276224983,-81.71151675996326,106.2678986919147
1634.343728433402,-81.83716236338286,80.0327514956881
1642.768180641822,-82.54636083584332,82.17236999872036
1651.192632850242,-81.9459697748826,87.63685414036937
1659.617085058661,-81.9164319224987,89.03726814514368
1668.041537267081,-81.18510903870796,119.9182648259301
1676.4659894755,-80.81688502937716,130.8838937706896
1684.89044168392,-80.60645337987916,120.0470467599141
1693.31489389234,-82.19280925130792,102.8768116774931
1701.739346100759,-81.29585321552869,86.26032215844953
1710.163798309179,-82.23616262571674,67.23967140396852
1718.588250517598,-82.51048406119952,42.77118356914299
1727.012702726018,-82.24100220822601,21.77282787523644
1735.437154934438,-81.85639673778738,3.986351559298001
1743.861607142857,-81.41342578429969,167.0874479904309
1752.286059351277,-81.71866405442087,158.7242780873804
1760.710511559696,-82.27172734720041,123.563930096299
1769.134963768116,-81.31421472314514,111.4943556668592
1777.559415976536,-82.13014504702625,93.25880503043044
1785.983868184955,-81.81878671770272,66.5201742810594
1794.408320393375,-81.62794060755247,50.07491098651703
1802.832772601794,-81.05804863362184,59.57841506287906
1811.257224810214,-80.72946135221444,72.47954343504192
1819.681677018634,-81.44050100713147,102.9206680893565
1828.106129227053,-81.24405819363653,148.7580817991746
1836.530581435473,-81.72604370511287,168.4583076732191
1844.955033643892,-81.81166423617034,174.81672610507
1853.379485852312,-82.26945884474304,165.9998676818849
1861.803938060732,-81.26953700725588,157.3207697321913
1870.228390269151,-81.38215804146598,156.1923004618327
1878.652842477571,-81.65298835917446,11.53327044075002
1887.07729468599,-81.98763806033809,67.19008688701811
1895.50174689441,-82.04492661151014,62.16443454943426
1903.92619910283,-82.09090957875318,40.51358830132287
1912.350651311249,-81.12449581317765,39.68980862068413
1920.775103519669,-81.02416932285827,54.35389223653808
1929.199555728088,-80.79409729905746,67.80884911767755
1937.624007936508,-81.1064815145908,121.145187396737
1946.048460144928,-81.17727859292762,152.3283232283466
1954.472912353347,-81.25370993947354,177.2554495856203
1962.897364561767,-81.60271918890403,21.54603543967514
1971.321816770186,-81.20445541142237,36.94384453588845
1979.746268978606,-81.51597251114583,49.52839956911523
1988.170721187026,-79.61511122341201,57.64614791799094
1996.595173395445,-78.86754248294612,42.44220030396609
2005.019625603865,-80.66192993155938,21.03521806440418
2013.444077812284,-82.31171794355174,36.59670261633232
2021.868530020704,-80.52552198594002,136.0990274122038
2030.292982229124,-80.64933817402672,172.3689843442577
2038.717434437543,-81.13855659971422,2.299357469239326
2047.141886645963,-81.03845614524931,2.839140040930773
2055.566338854383,-81.24849279667546,23.08589029149024
2063.990791062802,-81.28891970449553,54.81530295434774
2072.415243271222,-81.63149344724415,101.2238001341422
2080.839695479641,-82.39895628205801,137.7196394301521
2089.264147688061,-82.39932874085363,140.3138454248275
2097.68859989648,-81.60158239702523,145.1461286041233
2106.1130521049,-82.11856846752588,147.012831030694
2114.537504313319,-81.21408391486447,120.7278738725501
2122.961956521739,-81.06129953510353,6.467629799673198
2131.386408730159,-81.41011992513381,163.7094710685045
2139.810860938579,-82.04118621517189,165.3724617124734
2148.235313146998,-81.92392475029064,169.6783324595495
2156.659765355418,-82.49592826127702,171.897965202943
2165.084217563837,-82.58789456289755,1.801256162270393
2173.508669772257,-81.90436818146716,29.40730820808889
2181.933121980676,-81.7780426775771,117.1491167461095
2190.357574189096,-81.67985972606246,146.4036563746358
2198.782026397516,-81.47320595401867,133.1402074227476
2207.206478605935,-81.22568849394953,125.7115648905721
2215.630930814355,-81.16424920879501,138.0479064701977
2224.055383022775,-81.1916338004591,143.6118664756008
2232.479835231194,-81.45065552667501,144.9747742674631
2240.904287439614,-82.57391220315553,169.4601705097324
2249.328739648033,-82.09024386549309,67.69855270395728
2257.753191856453,-81.01479760602793,95.21364309726503
2266.177644064872,-81.62498884442451,98.7280721161069
2274.602096273292,-82.16062651623288,92.30057565945333
2283.026548481712,-81.84023034762951,21.49905085249132
2291.451000690131,-82.90399615768897,163.7960842384941
2299.875452898551,-81.8541098980927,149.2411219477872
2308.299905106971,-80.75970173961926,122.5891874675446
2316.72435731539,-80.24901954591255,141.9203961525403
2325.14880952381,-78.91087321273049,147.6437690552478
2333.573261732229,-80.13188288785176,146.6580372074692
2341.997713940649,-79.80763909241874,144.6760415951527
2350.422166149068,-81.10953274766864,145.2638468519512
2358.846618357488,-81.86520368099657,129.1625504553524
2367.271070565908,-81.55752795211953,130.5171177720358
2375.695522774327,-81.93870286511068,124.2790861566589
2384.119974982747,-81.93414877646701,110.8854086928833
2392.544427191167,-81.74228676792437,97.96909026426289
2400.968879399586,-81.75594833377757,86.44548649352173
2409.393331608006,-82.20072690238446,87.63287701614152
2417.817783816425,-82.23811866660856,25.81514994089899
2426.242236024845,-81.65943942811114,50.39035340999322
2434.666688233264,-81.91240413899364,52.28655898736133
2443.091140441684,-82.32606793506349,53.63114481434967
2451.515592650104,-81.97085053416944,72.65590815826575
2459.940044858523,-82.54417856290232,134.7702088343597
