Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-51.42517970912068,180
8.4244522084196,-51.73490628481083,179.8351759138893
16.8489044168392,-55.13962093743472,179.3392206930705
25.2733566252588,-64.6521573970092,179.7638515538826
33.6978088336784,-76.40932397187549,82.08133942678251
42.122261042098,-78.02870417327874,127.0716379688606
50.5467132505176,-78.19801998464796,121.4669874488681
58.9711654589372,-78.77188164658938,120.470050589832
67.3956176673568,-79.352541260832,120.9817295258648
75.8200698757764,-79.73351279365136,130.5944978143347
84.24452208419601,-80.87875769648187,162.9563617324152
92.6689742926156,-80.99907037136161,12.87518874238695
101.0934265010352,-81.03299149363794,31.55941886620072
109.5178787094548,-81.21321994910936,64.62481617833301
117.9423309178744,-82.08222042250748,122.0222665020021
126.366783126294,-81.51754111886839,10.75212024495253
134.7912353347136,-79.79974196588743,5.325731694364515
143.2156875431332,-79.90385104660055,179.384923669226
151.6401397515528,-81.38921268213161,179.4182703932169
160.0645919599724,-81.84198092916041,173.6517580078947
168.489044168392,-81.20332869768531,156.2219419877986
176.9134963768116,-80.34767187335449,140.3446450511014
185.3379485852312,-80.61645585118248,111.0186998603183
193.7624007936508,-80.28507766196667,74.14884694039628
202.1868530020704,-80.34014563936309,39.50516592147458
210.61130521049,-80.79479425404217,18.46175232512312
219.0357574189096,-81.81056078899067,5.25848076137675
227.4602096273292,-81.79496637503169,169.6968749813722
235.8846618357488,-80.82127168693526,128.4834030138589
244.3091140441684,-80.51021705724611,85.69610891563876
252.733566252588,-80.53880872884802,117.6151457174942
261.1580184610076,-80.87347357617423,179.9583737148274
269.5824706694272,-81.38596469755761,130.3832584437147
278.0069228778468,-81.74077245955429,64.40982278310287
286.4313750862664,-81.47074491028378,75.37238032831405
294.855827294686,-81.4372819641747,71.90729234582999
303.2802795031056,-81.52243780156759,56.57051692179294
311.7047317115252,-81.54447521302295,61.60702438358953
320.1291839199448,-81.28330435353402,38.99676631522999
328.5536361283644,-81.39072119184925,168.5665631814222
336.978088336784,-80.99335923677819,150.2641288443631
345.4025405452036,-80.99973830131756,124.963024369448
353.8269927536232,-80.55930734725143,105.0994063806166
