Time (s),Channel 1 (V)
-0.00511875,-0.02353387270969326
-0.0051175,-0.02319683038377978
-0.005116249999999999,-0.02420795736152052
-0.005115,-0.02488204201334718
-0.005113749999999999,-0.0245449996874337
-0.0051125,-0.02488204201334718
-0.005111249999999999,-0.02488204201334718
-0.00511,-0.02521908433926051
-0.00510875,-0.02521908433926066
-0.005107499999999999,-0.02488204201334718
-0.00510625,-0.02488204201334718
-0.005104999999999999,-0.02521908433926066
-0.00510375,-0.02521908433926066
-0.005102499999999999,-0.0245449996874337
-0.00510125,-0.02420795736152022
-0.005099999999999999,-0.02387091503560674
-0.00509875,-0.02353387270969341
-0.0050975,-0.02319683038377978
-0.005096249999999999,-0.02285978805786599
-0.005095,-0.02218570340603934
-0.005093749999999999,-0.02117457642829874
-0.0050925,-0.02083753410238541
-0.005091249999999999,-0.02050049177647193
-0.00509,-0.01948936479873195
-0.00508875,-0.01847823782099105
-0.0050875,-0.01713006851733774
-0.00508625,-0.01679302619142364
-0.005084999999999999,-0.01611894153959622
-0.00508375,-0.01510781456185624
-0.005082499999999999,-0.01477077223594276
-0.00508125,-0.0140966875841158
-0.005079999999999999,-0.01342260293228884
-0.00507875,-0.01241147595454886
-0.0050775,-0.01173739130272144
-0.00507625,-0.01072626432498146
-0.005075,-0.009715137347240554
-0.005073749999999999,-0.009378095021326614
-0.0050725,-0.008366968043586632
-0.005071249999999999,-0.007692883391759671
-0.00507,-0.006681756414019229
-0.005068749999999999,-0.006007671762192269
-0.0050675,-0.005670629436278941
-0.00506625,-0.004322460132624865
-0.005064999999999999,-0.003985417806711079
-0.00506375,-0.003311333154884424
-0.005062499999999999,-0.002637248503057003
-0.00506125,-0.001626121525317021
-0.005059999999999999,-0.000614994547576579
-0.00505875,-0.0002779522216630985
-0.005057499999999999,0.0007331747560773433
-0.00505625,0.001407259407903998
-0.005055,0.002081344059731266
-0.005053749999999999,0.002418386385645359
-0.0050525,0.003766555689298668
-0.005051249999999999,0.004440640341125936
-0.00505,0.005114724992952591
-0.005048749999999999,0.005788809644779552
-0.0050475,0.006462894296606207
-0.00504625,0.007474021274346955
-0.005045,0.008148105926173609
-0.00504375,0.008485148252087396
-0.005042499999999999,0.00949627522982799
-0.00504125,0.009833317555741319
-0.005039999999999999,0.0101703598816548
-0.00503875,0.0118555715112222
-0.005037499999999999,0.01219261383713568
-0.00503625,0.01286669848896234
-0.005035,0.01286669848896264
-0.00503375,0.01387782546670263
-0.0050325,0.01455191011853005
-0.005031249999999999,0.01488895244444383
-0.00503,0.01556303709627049
-0.005028749999999999,0.01623712174809745
-0.0050275,0.01691120639992441
-0.005026249999999999,0.01724824872583789
-0.005025,0.01792233337766454
-0.00502375,0.01825937570357834
-0.005022499999999999,0.01859641802949197
-0.00502125,0.01893346035540529
-0.005019999999999999,0.0189334603554056
-0.00501875,0.01960754500723225
-0.005017499999999999,0.01960754500723225
-0.00501625,0.02028162965905922
-0.005014999999999999,0.01994458733314573
-0.00501375,0.02061867198497239
-0.0050125,0.0206186719849727
-0.005011249999999999,0.020618671984973
-0.00501,0.02129275663679966
-0.005008749999999999,0.0206186719849727
-0.0050075,0.0206186719849727
-0.005006249999999999,0.01994458733314573
-0.005005,0.02028162965905922
-0.00500375,0.02028162965905922
-0.0050025,0.01960754500723256
-0.00500125,0.01927050268131877
-0.004999999999999999,0.01859641802949166
-0.00499875,0.01825937570357834
-0.004997499999999999,0.01792233337766485
-0.00499625,0.01724824872583789
-0.004994999999999999,0.01657416407401093
-0.00499375,0.01590007942218427
-0.0049925,0.01522599477035701
-0.00499125,0.01421486779261703
-0.00499,0.0135407831407896
-0.004988749999999999,0.01286669848896249
-0.0049875,0.01252965616304916
-0.004986249999999999,0.01151852918530872
-0.004985,0.01084444453348176
-0.004983749999999999,0.009833317555741319
-0.0049825,0.009159232903914665
-0.00498125,0.008485148252087396
-0.004979999999999999,0.007474021274346495
-0.00497875,0.006462894296606513
-0.004977499999999999,0.005451767318865765
-0.00497625,0.00477768266703911
-0.004974999999999999,0.004103598015212149
-0.00497375,0.003092471037471707
-0.004972499999999999,0.002418386385644746
-0.00497125,0.001407259407904764
-0.00497,0.0007331747560773433
-0.004968749999999999,0.0003961324301634029
-0.0049675,-0.000614994547576579
-0.004966249999999999,-0.0009520368734903662
-0.004965,-0.001626121525317021
-0.004963749999999999,-0.002300206177143982
-0.0049625,-0.002637248503057462
-0.00496125,-0.004322460132624865
-0.00496,-0.005333587110364847
-0.00495875,-0.005333587110365307
-0.004957499999999999,-0.006344714088105902
-0.00495625,-0.006681756414019229
-0.004954999999999999,-0.007692883391759671
-0.00495375,-0.008704010369500113
-0.004952499999999999,-0.009041052695413594
