Frequency (Hz),Trace 1 (dB),Phase (deg)
0,-49.30933343896768,180
12.20703125,-49.61818418717624,0.400719247813991
24.4140625,-53.12995717076774,1.154772824266209
36.62109375,-63.14526460319537,4.292224991574681
48.828125,-78.42312323057867,51.79203484557414
61.03515625,-82.31997085139461,139.5474214926082
73.2421875,-81.98686602546097,48.66861613939711
85.44921875,-80.55137067486737,85.51357610429319
97.65625,-80.3537502273584,120.0333847345111
109.86328125,-81.67269249032371,76.76576681387374
122.0703125,-81.47739339215185,79.04486219405426
134.27734375,-81.13026339011321,85.21343867915405
146.484375,-81.39387751818319,93.3050862122862
158.69140625,-82.26369804373863,110.553754475427
170.8984375,-82.44049306595082,149.1264909740836
183.10546875,-82.85996595762208,174.7241480522777
195.3125,-82.89852474442944,28.207830000313
207.51953125,-82.63682576104338,58.86438676026668
219.7265625,-82.08781674772385,86.08304176862197
231.93359375,-82.74940527302459,140.6651059457846
244.140625,-82.78095365754531,6.851688354859513
256.34765625,-82.25886833066774,52.25291629762237
268.5546875,-81.18166480745026,93.17958144731026
280.76171875,-80.44156575715698,114.6207619061878
292.96875,-81.5017030488457,124.9820588057225
305.17578125,-82.38683175813409,123.0894854813406
317.3828125,-81.82084321943448,97.30835725532302
329.58984375,-81.99856177038582,21.21127304363995
341.796875,-81.90204348436569,177.667547359197
354.00390625,-81.8358950612609,159.9539128020738
366.2109375,-81.96163282633918,153.4896611294152
378.41796875,-82.00535286374338,169.6518769608141
390.625,-82.0564198378583,9.751898148997006
402.83203125,-81.89142141974204,25.19001571887662
415.0390625,-81.91667160622836,41.15783754193469
427.24609375,-82.43111451293595,52.23984868760928
439.453125,-82.94623841596419,58.33657098412485
451.66015625,-82.79477954844634,68.68680198992624
463.8671875,-82.57226403187107,98.08906161156813
476.07421875,-82.41401071667285,115.1142383546252
488.28125,-82.62204235300987,117.8025610021331
500.48828125,-81.74012844972802,119.2649318165742
512.6953125,-81.45465317129981,139.6826575277241
524.90234375,-82.2304215756391,131.9220666123025
537.109375,-82.70269002387694,136.0437786339651
549.31640625,-82.40180233578576,142.7798036010879
561.5234375,-83.04681079150524,72.34912102481745
573.73046875,-83.50817703745021,17.83846065243464
585.9375,-82.03244701729722,48.23231283504723
598.14453125,-82.04849636978958,164.7647968929901
610.3515625,-81.79670612696214,171.2739110285051
622.55859375,-81.77173966476533,11.85564404742408
634.765625,-81.91566395908498,32.15608515470936
646.97265625,-81.62613469866783,45.15786925064604
659.1796875,-81.5892168356868,52.51089083346365
671.38671875,-81.04254344418342,77.23823018108705
683.59375,-81.95261996226124,150.8817170294104
695.80078125,-82.14302036180644,176.3820968622045
708.0078125,-81.53664328409562,3.165651228767804
720.21484375,-82.03985273615615,6.788806203690683
732.421875,-82.09891826212086,23.63887157250282
744.62890625,-82.17157324777368,53.23727718347472
756.8359375,-82.5945363970101,76.38607841578992
769.04296875,-83.48186350865041,83.03611746623531
781.25,-83.05812941216324,85.74656316424847
793.45703125,-83.49809009826515,96.85554724536097
805.6640625,-82.09727242291245,111.1616371217829
817.87109375,-82.06092093471722,119.1981052336749
830.078125,-81.79330949622485,124.2707651796931
842.28515625,-82.61737830343107,129.1868745960429
854.4921875,-82.64489102535572,134.7915388397835
866.69921875,-82.54763289418678,139.0711983596515
878.90625,-82.60664931888095,142.6994764602752
891.11328125,-82.41092715422901,146.510421864863
903.3203125,-82.3388709617426,136.9588930193981
915.52734375,-82.37709343015419,104.2240183791212
927.734375,-82.92149708122308,70.22632215595695
939.94140625,-81.54863829923227,23.10386826011789
952.1484375,-81.7068622777436,17.10774354890856
964.35546875,-82.55605767413597,13.35502253709764
976.5625,-82.68970029890426,7.443999087965403
988.76953125,-82.35785619427345,11.84499472525122
1000.9765625,-81.51394976193694,13.46544151520896
1013.18359375,-82.46359541931831,2.660729800834402
1025.390625,-82.49167555024414,166.1600578143349
1037.59765625,-81.52444723915414,115.3568470128867
1049.8046875,-81.21898613331668,98.42304795573732
1062.01171875,-82.42837166743216,94.59944371785853
1074.21875,-82.29984996980123,94.99185204178092
1086.42578125,-82.84496611203622,109.1161141002346
1098.6328125,-82.48858066024212,142.0612797883578
1110.83984375,-83.07719823432538,163.7333960591748
1123.046875,-82.42634656190236,141.0840681108667
1135.25390625,-82.17341690980093,92.39353505516354
1147.4609375,-81.4316207136565,61.23628246166669
1159.66796875,-82.25689984185216,51.33747086219074
1171.875,-82.59264099311211,42.65867488067668
1184.08203125,-82.64356484948371,37.35488460674757
1196.2890625,-82.46882276348154,31.09024982278503
1208.49609375,-82.64433240462905,8.505145820179537
1220.703125,-82.01953770419979,107.2226962993571
1232.91015625,-82.09769916050507,64.88232146486013
1245.1171875,-82.04345367819843,45.30505069582053
1257.32421875,-82.29193616784512,30.85184208221713
1269.53125,-82.51574305047987,22.84141572897419
1281.73828125,-82.53527550128668,18.15941856194259
1293.9453125,-82.3121720971895,15.17744162853659
1306.15234375,-81.86706923205938,17.75935032614654
1318.359375,-82.0005494919625,46.81752060930162
1330.56640625,-82.04006674301795,91.61202650768125
1342.7734375,-82.07785694767816,100.304820744563
1354.98046875,-82.37494744355399,100.0711363140956
1367.1875,-82.77731517185788,93.46163959763513
1379.39453125,-83.19680164598792,87.25863453273718
1391.6015625,-83.0761458136776,81.8202190437754
1403.80859375,-82.35754324069325,66.75558429471207
1416.015625,-80.83014792300474,42.55218539213645
1428.22265625,-80.31887413530052,32.75926107732142
1440.4296875,-81.34914815066179,17.34899429671113
1452.63671875,-81.90887090339805,167.9661090701395
1464.84375,-81.48627496617013,140.2485069347011
1477.05078125,-80.47798623576452,128.3213084182909
